I,II,III,IV,V,Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),"Temperature, K","Viscosity, cP",Reference (DOI),Component#1_SMILES,Component#2_SMILES
0,0,0,0,1,ethylamine hydrochloride,ethylenediamine,0.1,0.9,313.15,0,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CN)N
0,0,0,0,1,ethylamine hydrochloride,diethylenetriamine,0.1,0.9,313.15,0.01,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CNCCN)N
0,0,0,0,1,ethylamine hydrochloride,diethylenetriamine,0.143,0.857,313.15,0.01,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CNCCN)N
0,0,0,0,1,ethylamine hydrochloride,ethylenediamine,0.143,0.857,313.15,0.01,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CN)N
0,0,0,0,1,ethylamine hydrochloride,monoethanolamine,0.1,0.9,313.15,0.02,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CO)N
0,0,0,0,1,ethylamine hydrochloride,monoethanolamine,0.143,0.857,313.15,0.03,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CO)N
0,0,0,0,1,ethylamine hydrochloride,ethylenediamine,0.25,0.75,313.15,0.04,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CN)N
0,0,0,0,1,ethylamine hydrochloride,triethylenetetramine,0.1,0.9,313.15,0.04,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CNCCNCCN)N
0,0,0,0,1,ethylamine hydrochloride,diethylenetriamine,0.25,0.75,313.15,0.05,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CNCCN)N
0,0,0,0,1,ethylamine hydrochloride,monoethanolamine,0.25,0.75,313.15,0.05,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CO)N
0,0,0,0,1,ethylamine hydrochloride,triethylenetetramine,0.143,0.857,313.15,0.05,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CNCCNCCN)N
0,0,0,0,1,ethylamine hydrochloride,tetraethylenepentamine,0.1,0.9,313.15,0.07,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CNCCNCCNCCN)N
0,0,0,0,1,l-lysine,hexanoic acid,0.333,0.667,323.15,0.07,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,CCCCCC(=O)O
0,0,0,0,1,ethylamine hydrochloride,tetraethylenepentamine,0.143,0.857,313.15,0.1,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CNCCNCCNCCN)N
0,0,0,0,1,l-histidine,hexanoic acid,0.333,0.667,323.15,0.1,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,CCCCCC(=O)O
0,0,0,0,1,l-lysine,hexanoic acid,0.333,0.667,318.15,0.1,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,CCCCCC(=O)O
0,0,0,0,1,ethylamine hydrochloride,ethylenediamine,0.5,0.5,313.15,0.11,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CN)N
0,0,0,0,1,ethylamine hydrochloride,monoethanolamine,0.5,0.5,313.15,0.11,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CO)N
0,0,0,0,1,l-alanine,hexanoic acid,0.333,0.667,323.15,0.12,10.1016/j.jcou.2022.102217,CC(C(=O)O)N,CCCCCC(=O)O
0,0,0,0,1,l-histidine,decanoic acid,0.333,0.667,323.15,0.12,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,CCCCCCCCCC(=O)O
0,0,1,0,0,acetylcholine chloride,imidazole,0.333,0.667,363.15,0.13,10.1021/acs.iecr.7b02478,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
0,0,0,0,1,ethylamine hydrochloride,triethylenetetramine,0.25,0.75,313.15,0.13,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CNCCNCCN)N
0,0,0,0,1,l-alanine,oxalic acid,0.333,0.667,323.15,0.13,10.1016/j.jcou.2022.102217,CC(C(=O)O)N,C(=O)(C(=O)O)O
0,0,0,0,1,l-lysine,dodecanoic acid,0.333,0.667,323.15,0.14,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,CCCCCCCCCCCC(=O)O
0,0,1,0,0,acetylcholine chloride,imidazole,0.333,0.667,353.15,0.15,10.1021/acs.iecr.7b02478,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
0,0,0,0,1,l-histidine,oxalic acid,0.333,0.667,323.15,0.16,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,C(=O)(C(=O)O)O
0,0,0,0,1,l-histidine,dodecanoic acid,0.333,0.667,323.15,0.16,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,CCCCCCCCCCCC(=O)O
0,0,0,0,1,l-alanine,decanoic acid,0.333,0.667,323.15,0.17,10.1016/j.jcou.2022.102217,CC(C(=O)O)N,CCCCCCCCCC(=O)O
0,0,0,0,1,l-lysine,oxalic acid,0.333,0.667,323.15,0.18,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,C(=O)(C(=O)O)O
0,0,0,0,1,l-histidine,hexanoic acid,0.333,0.667,318.15,0.2,10.1016/j.jcou.2022.102217,C1=C(NC=N1)CC(C(=O)O)N,CCCCCC(=O)O
0,0,0,0,1,l-lysine,hexanoic acid,0.333,0.667,313.15,0.2,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,CCCCCC(=O)O
0,0,0,0,1,l-lysine,decanoic acid,0.333,0.667,318.15,0.2,10.1016/j.jcou.2022.102217,C(CCN)CC(C(=O)O)N,CCCCCCCCCC(=O)O
0,0,0,0,1,l-cystine,oxalic acid,0.333,0.667,323.15,0.21,10.1016/j.jcou.2022.102217,C(C(C(=O)O)N)SSCC(C(=O)O)N,C(=O)(C(=O)O)O
0,0,1,0,0,acetylcholine chloride,imidazole,0.333,0.667,343.15,0.22,10.1021/acs.iecr.7b02478,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
0,0,1,0,0,acetylcholine chloride,imidazole,0.4,0.6,363.15,0.24,10.1021/acs.iecr.7b02478,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1
0,0,0,0,1,l-cystine,hexanoic acid,0.333,0.667,323.15,0.25,10.1016/j.jcou.2022.102217,C(C(C(=O)O)N)SSCC(C(=O)O)N,CCCCCC(=O)O
0,0,0,0,1,ethylamine hydrochloride,tetraethylenepentamine,0.25,0.75,313.15,0.26,10.1016/j.cjche.2020.07.004,CCN.Cl,C(CNCCNCCNCCN)N
0,0,0,0,1,l-alanine,dodecanoic acid,0.333,0.667,323.15,0.28,10.1016/j.jcou.2022.102217,CC(C(=O)O)N,CCCCCCCCCCCC(=O)O
0,0,0,0,1,l-alanine,hexanoic acid,0.333,0.667,318.15,0.3,10.1016/j.jcou.2022.102217,CC(C(=O)O)N,CCCCCC(=O)O
0,0,0,0,1,l-alanine,oxalic acid,0.333,0.667,318.15,0.3,10.1016/j.jcou.2022.102217,CC(C(=O)O)N,C(=O)(C(=O)O)O
